ID,lat,lon,geometry
542,55.558,-3.8447,POINT (-3.8447 55.558)
543,55.829381,-4.208294,POINT (-4.208294 55.829381)
544,55.831669,-4.208583,POINT (-4.208583 55.831669)
545,55.329768,-3.445456,POINT (-3.445456 55.329768)
546,55.94157,-4.15929,POINT (-4.15929 55.94157)
547,55.94214,-4.15249,POINT (-4.15249 55.94214)
548,55.863522,-4.262262,POINT (-4.262262 55.863522)
549,55.861043,-4.259601,POINT (-4.259601 55.861043)
550,55.86493,-4.26665,POINT (-4.26665 55.86493)
551,55.86581,-4.26155,POINT (-4.26155 55.86581)
552,55.86015,-4.26433,POINT (-4.26433 55.86015)
553,55.861406,-4.262062,POINT (-4.262062 55.861406)
554,55.862997,-4.26787,POINT (-4.26787 55.862997)
555,54.592703,-5.93343,POINT (-5.93343 54.592703)
556,54.594342,-5.928256,POINT (-5.928256 54.594342)
557,54.59466,-5.9279,POINT (-5.9279 54.59466)
558,54.59324,-5.93326,POINT (-5.93326 54.59324)
559,54.604646,-5.931866,POINT (-5.931866 54.604646)
560,54.60369,-5.93161,POINT (-5.93161 54.60369)
561,54.600554,-5.93401,POINT (-5.93401 54.600554)
562,54.594109,-5.924292,POINT (-5.924292 54.594109)
563,54.59162,-5.920733,POINT (-5.920733 54.59162)
564,54.593467,-5.935646,POINT (-5.935646 54.593467)
565,54.596032,-5.938211,POINT (-5.938211 54.596032)
566,54.595442,-5.937088,POINT (-5.937088 54.595442)
567,54.594979,-5.938001,POINT (-5.938001 54.594979)
568,54.596506,-5.937623,POINT (-5.937623 54.596506)
569,54.587893,-5.934377,POINT (-5.934377 54.587893)
570,54.58794,-5.9339,POINT (-5.9339 54.58794)
571,54.595384,-5.915776,POINT (-5.915776 54.595384)
572,54.59528,-5.91723,POINT (-5.91723 54.59528)
573,54.597554,-5.91059,POINT (-5.91059 54.597554)
574,54.546408,-5.905207,POINT (-5.905207 54.546408)
575,54.173287,-6.335203,POINT (-6.335203 54.173287)
576,54.168319,-6.34252,POINT (-6.34252 54.168319)
577,54.170394,-6.34045,POINT (-6.34045 54.170394)
578,54.170301,-6.34155,POINT (-6.34155 54.170301)
579,54.17045,-6.34255,POINT (-6.34255 54.17045)
580,54.17352,-6.3361,POINT (-6.3361 54.17352)
581,54.17444,-6.33847,POINT (-6.33847 54.17444)
582,54.170603,-6.340706,POINT (-6.340706 54.170603)
583,54.178594,-6.335694,POINT (-6.335694 54.178594)
584,54.176301,-6.340184,POINT (-6.340184 54.176301)
585,54.175246,-6.338146,POINT (-6.338146 54.175246)
586,54.176524,-6.342105,POINT (-6.342105 54.176524)
587,54.17555,-6.34051,POINT (-6.34051 54.17555)
588,54.17714,-6.34258,POINT (-6.34258 54.17714)
589,54.847389,-6.727441,POINT (-6.727441 54.847389)
590,54.9989,-7.32095,POINT (-7.32095 54.9989)
591,54.994629,-7.323503,POINT (-7.323503 54.994629)
592,54.99325,-7.319705,POINT (-7.319705 54.99325)
593,54.99548,-7.32185,POINT (-7.32185 54.99548)
594,54.99424,-7.32317,POINT (-7.32317 54.99424)
595,54.99519,-7.32212,POINT (-7.32212 54.99519)
596,54.992927,-7.313118,POINT (-7.313118 54.992927)
597,54.993048,-7.312725,POINT (-7.312725 54.993048)
598,54.99263,-7.3109,POINT (-7.3109 54.99263)
599,55.001546,-7.322345,POINT (-7.322345 55.001546)
600,55.00197,-7.32222,POINT (-7.32222 55.00197)
601,55.0012,-7.32129,POINT (-7.32129 55.0012)
602,55.00669,-7.32372,POINT (-7.32372 55.00669)
603,55.024553,-7.338951,POINT (-7.338951 55.024553)
604,54.345614,-7.638437,POINT (-7.638437 54.345614)
605,54.345051,-7.640047,POINT (-7.640047 54.345051)
606,54.343512,-7.637848,POINT (-7.637848 54.343512)
607,54.34741,-7.640307,POINT (-7.640307 54.34741)
608,54.348524,-7.637903,POINT (-7.637903 54.348524)
609,54.34581,-7.63918,POINT (-7.63918 54.34581)
610,54.34457,-7.63928,POINT (-7.63928 54.34457)
611,54.347332,-7.641126,POINT (-7.641126 54.347332)
612,54.342478,-7.635394,POINT (-7.635394 54.342478)
613,54.343861,-7.633197,POINT (-7.633197 54.343861)
614,54.3428,-7.6334,POINT (-7.6334 54.3428)
