grid_lat,grid_lon,count
34.67,33.04,2
34.68,33.05,1
34.7,33.05,1
34.71,32.480000000000004,2
34.71,33.160000000000004,1
34.76,32.410000000000004,1
34.78,32.44,1
34.87,33.6,1
34.87,33.62,1
34.89,32.86,1
34.89,33.63,1
34.910000000000004,33.63,1
34.980000000000004,34.0,1
35.01,34.04,1
35.01,34.05,1
35.03,32.42,1
35.04,33.980000000000004,1
35.1,33.37,1
35.11,33.33,1
35.12,33.37,1
35.13,33.37,1
35.14,33.31,1
35.14,33.33,1
35.14,33.38,2
35.14,33.410000000000004,1
35.160000000000004,33.36,1
35.19,25.71,1
35.2,25.69,1
35.2,25.71,1
35.21,25.71,1
35.230000000000004,25.73,1
35.24,25.72,1
35.300000000000004,25.07,3
35.300000000000004,25.09,1
35.300000000000004,25.400000000000002,1
35.31,25.1,1
35.32,25.38,1
35.33,25.11,1
35.33,25.12,1
35.33,25.150000000000002,1
35.33,25.16,1
35.33,25.2,1
35.34,25.13,1
35.35,24.310000000000002,1
35.36,24.26,1
35.36,24.47,2
35.36,24.48,2
35.36,24.490000000000002,2
35.36,24.53,1
35.37,24.54,1
35.37,24.6,1
35.39,24.61,1
35.39,25.01,1
35.4,24.63,1
35.410000000000004,25.01,1
35.5,23.98,2
35.5,24.0,3
35.51,23.900000000000002,2
35.51,23.93,2
35.51,24.02,1
35.51,24.03,1
35.52,24.07,1
35.53,23.8,1
35.82,14.52,1
35.83,14.47,1
35.83,14.540000000000001,1
35.85,14.530000000000001,1
35.86,14.38,1
35.86,14.56,1
35.87,14.44,1
35.87,14.46,1
35.87,14.47,1
35.87,14.48,1
35.87,14.530000000000001,1
35.88,14.5,1
35.89,14.44,1
35.89,14.46,1
35.89,14.5,1
35.89,14.52,2
35.9,14.450000000000001,1
35.9,14.46,1
35.9,14.47,1
35.9,14.49,1
35.910000000000004,14.42,1
35.910000000000004,14.44,1
35.910000000000004,14.450000000000001,1
35.910000000000004,14.5,1
35.92,14.48,1
35.94,14.41,1
35.95,14.36,1
35.95,14.41,1
35.96,14.36,1
35.980000000000004,14.32,1
36.02,14.24,1
36.03,14.21,1
36.03,14.26,1
36.03,14.290000000000001,1
36.04,14.23,1
36.04,14.24,1
36.04,14.26,1
36.050000000000004,14.200000000000001,1
36.06,14.26,1
36.11,-5.46,1
36.11,-5.45,1
36.12,-5.45,1
36.13,-5.46,1
36.13,-5.45,1
36.14,-5.45,1
36.15,-5.46,1
36.160000000000004,-5.47,1
36.18,-5.44,1
36.230000000000004,-5.36,1
36.36,-5.23,1
36.410000000000004,-5.18,1
36.43,-5.17,1
36.43,-5.11,1
36.45,-5.07,1
36.46,-6.21,1
36.46,-5.93,1
36.46,-5.03,1
36.47,-6.21,1
36.47,-5.0600000000000005,2
36.480000000000004,-6.2700000000000005,1
36.480000000000004,-5.0200000000000005,2
36.480000000000004,-4.99,1
36.480000000000004,-4.97,1
36.480000000000004,-4.96,4
36.480000000000004,-4.72,1
36.49,-6.2700000000000005,2
36.49,-5.0,1
36.49,-4.96,2
36.49,-4.95,2
36.49,-4.8,1
36.49,-4.79,3
36.49,-4.72,1
36.5,-6.28,1
36.5,-6.2700000000000005,1
36.5,-4.98,1
36.5,-4.96,1
36.5,-4.93,2
36.5,-4.92,1
36.5,-4.91,2
36.5,-4.9,2
36.5,-4.89,2
36.5,-4.83,2
36.5,-4.69,1
36.51,-6.29,1
36.51,-6.28,1
36.51,-5.0,2
36.51,-4.98,1
